"filename", "language", "JSON", "JSON with Comments", "CSS", "HTML", "TypeScript", "Markdown", "comment", "blank", "total"
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 14, 28
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\angular.json", "JSON", 99, 0, 0, 0, 0, 0, 0, 1, 100
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\package-lock.json", "JSON", 14258, 0, 0, 0, 0, 0, 0, 1, 14259
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 1, 39
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\app.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 5, 30
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 2, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 3, 9
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 3, 29
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\login-layout\login-layout.component.css", "CSS", 0, 0, 47, 0, 0, 0, 5, 3, 55
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\login-layout\login-layout.component.html", "HTML", 0, 0, 0, 21, 0, 0, 0, 1, 22
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\login-layout\login-layout.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\login-layout\login-layout.component.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 4, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\login\login.component.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 2, 11
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\login\login.component.html", "HTML", 0, 0, 0, 29, 0, 0, 0, 2, 31
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 3, 14
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\register\register.component.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 1, 11
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\register\register.component.html", "HTML", 0, 0, 0, 51, 0, 0, 0, 1, 52
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\user_login\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\about\about.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\about\about.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\about\about.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\about\about.component.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\add-products\add-products.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\add-products\add-products.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\add-products\add-products.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\add-products\add-products.component.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
